interaction,zip_size,ops_per_interaction,merge_rate,replication_rate,cooperation_index,bloodied_branch_rate,mean_hp_ratio,genotype_diversity,opcode_entropy,role_entropy,striker_frac,defender_frac,leader_frac,hybrid_frac,replicator_frac,signal_convention_strength,grant_rate
100000,992,140.810820,0.00547000,1.95936000,0.96078431,0.27330086,0.81309362,0.00585938,3.72940294,0.34863187,0.00000000,0.93457031,0.00000000,0.06542969,0.25976562,0.10546875,4.23301000
200000,782,152.804275,0.00273500,1.97708500,0.90196078,0.21615491,0.80645371,0.00390625,3.70993246,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.27832031,0.11328125,4.89551000
300000,711,155.808060,0.00183333,1.98354667,1.00000000,0.17970240,0.84560759,0.00390625,3.63569266,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.36621094,0.09472656,5.30764000
400000,535,163.527273,0.00140000,1.98746250,1.00000000,0.17822298,0.84750403,0.00195312,3.59740331,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.46679688,0.10546875,6.01805750
500000,523,168.473286,0.00113000,1.98991800,1.00000000,0.17911068,0.86242751,0.00195312,3.58903597,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.39160156,0.09179688,6.45629000
600000,518,171.672213,0.00094833,1.99155000,1.00000000,0.17864594,0.80210560,0.00195312,3.59717847,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.62890625,0.16308594,6.75035833
700000,517,173.943254,0.00081857,1.99270714,1.00000000,0.17808267,0.80443683,0.00195312,3.59913432,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.59863281,0.15136719,6.96100714
800000,525,176.513355,0.00072625,1.99359125,1.00000000,0.18718428,0.80333549,0.00195312,3.59608991,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.64160156,0.15429688,7.10580750
900000,545,177.620773,0.00065222,1.99425889,1.00000000,0.18479253,0.82972600,0.00195312,3.59967199,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.50683594,0.13574219,7.22965778
1000000,127,179.179250,0.00058800,1.99477900,1.00000000,0.19070219,0.70558215,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.22851562,7.31558300
1100000,127,181.514863,0.00054182,1.99523909,1.00000000,0.20716416,0.70976155,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.25390625,7.37871545
1200000,127,183.471843,0.00050000,1.99562917,1.00000000,0.22167532,0.69936721,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.23730469,7.43162667
1300000,127,185.092124,0.00046462,1.99595923,1.00000000,0.23436922,0.70005561,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.25878906,7.47480385
1400000,127,186.499651,0.00043714,1.99623643,1.00000000,0.24575180,0.70177897,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.23730469,7.51277714
1500000,127,187.726219,0.00041000,1.99648333,1.00000000,0.25601108,0.71998100,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.20800781,7.54587000
1600000,127,188.792110,0.00038688,1.99669812,1.00000000,0.26521265,0.70406823,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.23730469,7.57457312
1700000,127,189.730648,0.00036588,1.99688882,1.00000000,0.27354704,0.70219114,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.24121094,7.59973765
1800000,127,190.565693,0.00034722,1.99705833,1.00000000,0.28113833,0.70087516,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.25292969,7.62217778
1900000,127,191.327601,0.00032947,1.99721211,1.00000000,0.28813333,0.70795236,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.24804688,7.64292526
2000000,127,191.995609,0.00031600,1.99734550,1.00000000,0.29450978,0.71070650,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.25683594,7.66073550
2100000,127,192.610885,0.00030190,1.99747000,1.00000000,0.30041304,0.71313748,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.22558594,7.67739238
2200000,127,193.182700,0.00029000,1.99758136,1.00000000,0.30590634,0.70259417,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.26367188,7.69298909
2300000,127,193.697250,0.00027783,1.99768565,1.00000000,0.31097056,0.71352573,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.24707031,7.70700826
2400000,127,194.183196,0.00026750,1.99777958,1.00000000,0.31573518,0.70355345,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.25390625,7.72048042
2500000,127,194.615962,0.00025800,1.99786600,1.00000000,0.32012461,0.70942382,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.23242188,7.73226680
2600000,127,195.008466,0.00025077,1.99794269,1.00000000,0.32419286,0.71510521,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.21289062,7.74282769
2700000,127,195.381609,0.00024370,1.99801444,1.00000000,0.32803252,0.69296990,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.26367188,7.75297926
2800000,127,195.714044,0.00023607,1.99808321,1.00000000,0.33158731,0.70800131,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.24218750,7.76183929
2900000,127,196.022361,0.00022931,1.99814655,1.00000000,0.33493420,0.70906028,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.23925781,7.76997621
3000000,127,196.327045,0.00022300,1.99820567,1.00000000,0.33814519,0.71263335,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.23925781,7.77833433
3100000,127,196.599592,0.00021774,1.99825968,1.00000000,0.34112193,0.69174743,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.25781250,7.78562419
3200000,127,196.854432,0.00021344,1.99830906,1.00000000,0.34394613,0.70366933,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.25097656,7.79241250
3300000,127,197.091736,0.00020818,1.99835788,1.00000000,0.34660647,0.70843928,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.24121094,7.79867939
3400000,127,197.324598,0.00020294,1.99840441,1.00000000,0.34915878,0.71262995,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.24414062,7.80507971
3500000,127,197.540716,0.00019886,1.99844657,1.00000000,0.35157281,0.70266115,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.24218750,7.81091800
3600000,127,197.746664,0.00019444,1.99848750,1.00000000,0.35387630,0.70617728,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.24121094,7.81654000
3700000,127,197.934494,0.00018973,1.99852730,1.00000000,0.35604742,0.70621773,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.25390625,7.82151649
3800000,127,198.113984,0.00018579,1.99856395,1.00000000,0.35811940,0.71096196,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.25585938,7.82632211
3900000,127,198.284665,0.00018282,1.99859718,1.00000000,0.36009262,0.69917716,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.23242188,7.83091744
4000000,127,198.458934,0.00017925,1.99863025,1.00000000,0.36202073,0.71216038,0.00097656,3.47640977,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.23144531,7.83577800
